产品网址：http://www.huitronic.com/product_show.php?id=168
产品结构：root->AEM叠层贴片保险丝--联系我们果博东方公司客服电话19188566669

|产品名称|产品型号|功能描述|
|----|----|----|
|AEM 叠层贴片保险丝|无|独石结构，玻璃陶瓷基体，内部银熔体；银电极表面镀镍和焊料（无铅），有极好的可焊性；适用于波峰焊和回流焊；使用温度范围：-55℃～+125℃；编带和卷盘包装|

Supplier Part Number,Part Series,Fuse Type,Size,Current Rating,Voltage Rating,Interrupting Rating,Reel Qty,Standard Package,Status,Package Type
F0603FF2500V032TM,SolidMatrix? FF Series,Very Fast Acting,603,2.50A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF2500V032T,SolidMatrix? FF Series,Very Fast Acting,603,2.50A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF3000V032T,SolidMatrix? FF Series,Very Fast Acting,603,3.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF3000V032TM,SolidMatrix? FF Series,Very Fast Acting,603,3.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF3500V032T,SolidMatrix? FF Series,Very Fast Acting,603,3.50A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF3500V032TM,SolidMatrix? FF Series,Very Fast Acting,603,3.50A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF4000V032TM,SolidMatrix? FF Series,Very Fast Acting,603,4.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF4000V032T,SolidMatrix? FF Series,Very Fast Acting,603,4.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF4500V032T,SolidMatrix? FF Series,Very Fast Acting,603,4.50A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF4500V032TM,SolidMatrix? FF Series,Very Fast Acting,603,4.50A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF5000V032T,SolidMatrix? FF Series,Very Fast Acting,603,5.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF5000V032TM,SolidMatrix? FF Series,Very Fast Acting,603,5.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
