产品型号,简要特点,uA,uA,V,V,V,V,V,V,V,V,下载
产品型号,简要特点,uA,uA,V,V,V,V,V,V,V,V,下载
BM3551-BHDC,3/4/5节保护可选  低温保护  放电状态识别  多芯片级联,20,5,3.65,3.55,2.35,2.55,0.1,0.3,0.6,-0.1,
BM3551-CJDE,3/4/5节保护可选  低温保护  放电状态识别  多芯片级联,20,5,3.7,3.5,2.5,2.8,0.1,0.2,0.4,-0.05,
BM3551-HEDC,3/4/5节保护可选  低温保护  放电状态识别  多芯片级联,20,5,3.85,3.75,2,2.5,0.1,0.4,0.8,-0.05,
BM3551-QJDC,3/4/5节保护可选  低温保护  放电状态识别  多芯片级联,20,5,4.175,4.055,2.5,2.8,0.1,0.4,0.8,-0.05,
BM3551-QMDB,3/4/5节保护可选  低温保护  放电状态识别  多芯片级联,20,5,4.175,4.055,2.75,3,0.1,0.2,0.8,-0.05,
BM3551-RLDB,3/4/5节保护可选  低温保护  放电状态识别  多芯片级联,20,5,4.2,4.08,2.7,2.9,0.1,0.2,0.8,-0.05,
BM3551-RMDB-D,3/4/5节保护可选  低温保护  放电状态识别  多芯片级联,20,5,4.2,4.08,2.75,3,0.1,0.2,0.8,-0.1,
BM3551-RMDC,3/4/5节保护可选  低温保护  放电状态识别  多芯片级联,20,5,4.2,4.08,2.75,3,0.1,0.4,0.8,-0.05,
BM3551-SMDB,3/4/5节保护可选  低温保护  放电状态识别  多芯片级联,20,5,4.225,4,2.75,3,0.1,0.2,0.8,-0.05,
BM3551-TJDC,3/4/5节保护可选  低温保护  放电状态识别  多芯片级联,20,5,4.25,4.13,2.5,2.7,0.1,0.4,0.8,-0.05,
BM3551-TNDB,3/4/5节保护可选  低温保护  放电状态识别  多芯片级联,20,5,4.25,4.13,2.8,3,0.1,0.2,0.8,-0.05,
BM3551-TNDC,3/4/5节保护可选  低温保护  放电状态识别  多芯片级联,20,5,4.25,4.13,2.8,3,0.1,0.4,0.8,-0.05,
BM3551-VJDC,3/4/5节保护可选  低温保护  放电状态识别  多芯片级联,20,5,4.3,4.18,2.5,2.7,0.1,0.4,0.8,-0.05,
BM3551-XJDC,3/4/5节保护可选  低温保护  放电状态识别  多芯片级联,20,5,4.35,4.23,2.5,2.8,0.1,0.4,0.8,-0.05,


触控芯片,触控芯片.1,触控芯片.2
BF6881A,BF5211A,BF5212A


产品型号,Unnamed: 1
产品型号,
产品型号,
BS32F030xBx6,查看详情


产品型号,Unnamed: 1
产品型号,
产品型号,
BS32G030xBx6,查看详情


产品型号,Unnamed: 1
产品型号,
产品型号,
BS32F103xBx6,查看详情
